scenario,symbol,company_name,selection_count,avg_activity,avg_drop_pct
原始口径｜大跌池内活跃前三,DTSS,Datasea Intelligent Technology ,1,5.1358642918272075,-8.280254777070073
原始口径｜大跌池内活跃前三,XXII,"22nd Century Group, Inc",1,4.955482984894042,-12.17948717948717
原始口径｜大跌池内活跃前三,BIRD,"Smartbird, Inc.",1,4.788105704466814,-35.78575632725132
原始口径｜大跌池内活跃前三,SKK,SKK Holdings Limited,1,4.7142985444587815,-54.38884331419196
原始口径｜大跌池内活跃前三,DFSC,DEFSEC Technologies Inc.,1,4.6847136110934136,-27.999999999999993
原始口径｜大跌池内活跃前三,GCTK,"GlucoTrack, Inc.",1,4.599629244218878,-9.174311926605515
原始口径｜大跌池内活跃前三,SILO,"Silo Pharma, Inc.",1,4.3834880262845415,-9.0032154340836
原始口径｜大跌池内活跃前三,SHPH,Shuttle Pharmaceuticals Holding,1,4.263409453480066,-33.00970873786409
原始口径｜大跌池内活跃前三,TNMG,TNL Mediagene,1,4.194003885822837,-35.64356435643564
原始口径｜大跌池内活跃前三,JYD,Jayud Global Logistics Limited,1,4.136331627391549,-65.94202898550725
原始口径｜大跌池内活跃前三,BAOS,Baosheng Media Group Holdings L,1,3.862487401411042,-15.966386554621847
原始口径｜大跌池内活跃前三,LABT,Lakewood-Amedex Biotherapeutics,1,3.8579393680466656,-36.66666666666666
原始口径｜大跌池内活跃前三,ONCO,"Onconetix, Inc.",1,3.8014193245806993,-39.75155279503107
原始口径｜大跌池内活跃前三,CSTE,Caesarstone Ltd.,1,3.639180948580738,-10.144927536231895
原始口径｜大跌池内活跃前三,GNPX,"Genprex, Inc.",1,3.627752949404976,-20.701168614357268
原始口径｜大跌池内活跃前三,TNON,"Tenon Medical, Inc.",1,3.3317625283587566,-10.429447852760742
原始口径｜大跌池内活跃前三,CJMB,Callan JMB Inc.,1,3.179621294936721,-19.183673469387752
原始口径｜大跌池内活跃前三,BANL,CBL International Limited,1,3.1156077440648002,-11.32812500000001
原始口径｜大跌池内活跃前三,UCAR,U Power Limited,1,2.9274048128728736,-31.092436974789905
原始口径｜大跌池内活跃前三,AZTR,Azitra Inc,1,2.889697171040889,-15.270935960591137
原始口径｜大跌池内活跃前三,BJDX,"Bluejay Diagnostics, Inc.",1,2.837965744745746,-50.85324232081911
原始口径｜大跌池内活跃前三,BBGI,"Beasley Broadcast Group, Inc.",1,2.7717473960496175,-11.564625850340127
原始口径｜大跌池内活跃前三,TOPS,"TOP Ships, Inc.",1,2.712687641221371,-9.090909090909083
原始口径｜大跌池内活跃前三,AMBO,Ambow Education Holding Ltd. Am,1,2.6492250099833883,-12.313432835820892
原始口径｜大跌池内活跃前三,WCT,Wellchange Holdings Company Lim,1,2.571066356848433,-24.590163934426222
原始口径｜大跌池内活跃前三,SDOT,Sadot Group Inc.,1,2.561774915251939,-29.79166666666667
原始口径｜大跌池内活跃前三,IMCC,IM Cannabis Corp.,1,2.5315450167828675,-13.934426229508201
原始口径｜大跌池内活跃前三,RAYA,Erayak Power Solution Group Inc,1,2.5104954810833773,-35.42319749216303
原始口径｜大跌池内活跃前三,QNRX,"Quoin Pharmaceuticals, Ltd.",1,2.479658181340905,-26.30385487528345
原始口径｜大跌池内活跃前三,PHIO,Phio Pharmaceuticals Corp.,1,2.37991590395908,-13.592233009708742
原始口径｜大跌池内活跃前三,VMAR,Vision Marine Technologies Inc.,1,2.371227024185188,-16.402116402116405
原始口径｜大跌池内活跃前三,NXXT,"NextNRG, Inc.",1,2.369191237956505,-18.292682926829272
原始口径｜大跌池内活跃前三,DBGI,"Digital Brands Group, Inc.",1,2.3009089184688136,-55.88235294117647
原始口径｜大跌池内活跃前三,UPC,Universe Pharmaceuticals Inc,1,2.273812557314324,-49.917898193760266
原始口径｜大跌池内活跃前三,ABTS,Abits Group Inc,1,2.264057695843737,-8.264462809917351
原始口径｜大跌池内活跃前三,CYAB,"Cyabra, Inc.",1,2.2395636026932246,-32.94117647058823
原始口径｜大跌池内活跃前三,HKIT,Hitek Global Inc.,1,2.22010239692302,-14.848484848484855
原始口径｜大跌池内活跃前三,AUUD,Auddia Inc.,1,2.1643022341290066,-63.83399209486166
